source,target,weight
31014,31295,42.0
31014,31108,1.0
31014,31227,1.0
31014,31246,6.0
31014,31200,5.0
31014,31314,4.0
31014,31229,2.0
31014,31110,6.0
31014,31064,1.0
31014,31289,4.0
31014,31247,1.0
31014,31203,1.0
31014,31288,2.0
31014,31249,2.0
31064,31247,8.0
31064,31288,1.0
31064,31014,2.0
31064,31623,1.0
31064,31108,1.0
31064,31101,1.0
31064,31609,5.0
31064,31249,21.0
31064,31646,1.0
31064,31321,2.0
31064,31201,1.0
31064,31230,1.0
31064,31290,1.0
31064,31002,6.0
31064,31243,2.0
31064,31289,2.0
31064,31215,2.0
31064,31007,7.0
31064,31258,1.0
31128,31110,15.0
31128,31246,30.0
31128,31247,3.0
31128,31229,35.0
31128,31265,25.0
31128,31243,1.0
31128,31230,2.0
31128,31233,3.0
31128,31281,2.0
31128,31214,13.0
31128,31295,22.0
31128,31215,17.0
31128,31609,2.0
31128,31321,5.0
31128,31258,1.0
31128,31288,1.0
31128,31646,6.0
31128,31257,15.0
31128,31129,4.0
31128,31603,3.0
31128,31228,11.0
31128,31623,1.0
31128,31201,18.0
31128,31290,1.0
31128,31289,6.0
31128,31227,13.0
31128,31241,9.0
31128,31314,5.0
31128,31277,2.0
31128,31200,23.0
31128,31266,24.0
31128,31014,6.0
31128,31064,1.0
31128,31203,4.0
31128,31232,1.0
31128,31101,27.0
31128,31600,1.0
31128,31212,1.0
31128,31219,3.0
31314,31215,11.0
31314,31265,1.0
31314,31128,3.0
31314,31609,11.0
31314,31247,1.0
31314,31257,5.0
31314,31200,8.0
31314,31290,5.0
31314,31628,2.0
31314,31258,4.0
31314,31110,1.0
31314,31266,1.0
31314,31241,1.0
31314,31101,1.0
31314,31289,6.0
31314,31014,4.0
31314,31228,1.0
31314,31646,6.0
31314,31229,1.0
31314,31219,1.0
31314,31108,2.0
31314,31246,5.0
31628,31603,2.0
31628,31627,1.0
31628,31129,2.0
31628,31623,31.0
31628,31613,51.0
31628,31201,1.0
31628,31290,1.0
31628,31271,2.0
31628,31247,2.0
31628,31265,4.0
31628,31609,20.0
31628,31241,1.0
31628,31108,76.0
31628,31288,5.0
31628,31289,1.0
31628,31277,12.0
31628,31258,1.0
31628,31230,5.0
31628,31232,8.0
31628,31615,2.0
31628,31219,6.0
31628,31646,11.0
31628,31272,39.0
31628,31233,1.0
31628,31243,2.0
31246,31230,8.0
31246,31014,6.0
31246,31232,3.0
31246,31214,9.0
31246,31265,5.0
31246,31277,3.0
31246,31646,4.0
31246,31281,3.0
31246,31110,15.0
31246,31623,2.0
31246,31129,1.0
31246,31233,8.0
31246,31289,4.0
31246,31258,3.0
31246,31241,4.0
31246,31600,23.0
31246,31201,12.0
31246,31228,6.0
31246,31101,10.0
31246,31215,4.0
31246,31229,6.0
31246,31266,7.0
31246,31257,8.0
31246,31212,6.0
31246,31227,1.0
31246,31288,5.0
31246,31128,17.0
31246,31203,7.0
31246,31314,3.0
31246,31627,1.0
31246,31295,6.0
31246,31200,29.0
31266,31232,39.0
31266,31203,30.0
31266,31110,11.0
31266,31201,58.0
31266,31219,5.0
31266,31281,39.0
31266,31603,19.0
31266,31277,4.0
31266,31243,3.0
31266,31288,1.0
31266,31314,1.0
31266,31271,1.0
31266,31321,1.0
31266,31646,2.0
31266,31200,12.0
31266,31214,8.0
31266,31215,1.0
31266,31627,2.0
31266,31101,11.0
31266,31228,56.0
31266,31212,26.0
31266,31613,1.0
31266,31257,2.0
31266,31246,25.0
31266,31241,19.0
31266,31600,19.0
31266,31258,1.0
31266,31623,1.0
31266,31227,22.0
31266,31233,13.0
31266,31129,2.0
31266,31108,2.0
31266,31230,69.0
31266,31229,8.0
31266,31615,1.0
31266,31014,4.0
31266,31265,7.0
31266,31128,33.0
31212,31203,10.0
31212,31232,2.0
31212,31246,30.0
31212,31295,5.0
31212,31609,2.0
31212,31266,10.0
31212,31247,2.0
31212,31281,1.0
31212,31243,2.0
31212,31201,24.0
31212,31321,1.0
31212,31627,3.0
31212,31229,55.0
31212,31289,4.0
31212,31600,1.0
31212,31230,3.0
31212,31228,5.0
31212,31128,6.0
31212,31215,1.0
31212,31615,1.0
31212,31227,4.0
31212,31200,18.0
31212,31277,5.0
31212,31257,17.0
31212,31603,8.0
31212,31110,28.0
31212,31233,8.0
31212,31258,2.0
31212,31101,12.0
31212,31241,26.0
31212,31314,2.0
31212,31265,3.0
31212,31288,3.0
31212,31214,12.0
31212,31014,1.0
31212,31129,2.0
31600,31295,2.0
31600,31623,3.0
31600,31200,5.0
31600,31277,25.0
31600,31229,5.0
31600,31272,4.0
31600,31627,23.0
31600,31203,13.0
31600,31201,6.0
31600,31628,3.0
31600,31265,9.0
31600,31212,6.0
31600,31108,1.0
31600,31603,30.0
31600,31101,8.0
31600,31227,30.0
31600,31230,29.0
31600,31266,17.0
31600,31288,2.0
31600,31257,2.0
31600,31609,2.0
31600,31241,7.0
31600,31219,1.0
31600,31246,21.0
31600,31215,2.0
31600,31233,8.0
31600,31128,9.0
31600,31232,15.0
31600,31613,2.0
31600,31129,11.0
31600,31110,10.0
31600,31281,27.0
31600,31271,7.0
31600,31258,4.0
31600,31228,30.0
31600,31615,19.0
31600,31214,2.0
31214,31201,47.0
31214,31246,5.0
31214,31646,3.0
31214,31247,6.0
31214,31289,2.0
31214,31101,13.0
31214,31266,11.0
31214,31257,6.0
31214,31227,17.0
31214,31272,1.0
31214,31228,5.0
31214,31314,1.0
31214,31281,7.0
31214,31627,1.0
31214,31108,2.0
31214,31203,12.0
31214,31233,58.0
31214,31321,1.0
31214,31229,69.0
31214,31600,9.0
