station,lon,lat,name
31028,-77.086063,38.893237,N Veitch St & Key Blvd
31030,-77.089006,38.89593,Lee Hwy & N Adams St
31031,-77.08095,38.89054,15th St & N Scott St
31032,-77.090792,38.88081,Washington Blvd & 7th St N
31037,-77.111768,38.881044,Ballston Metro / Stuart St & 9th St N
31034,-77.109366,38.882629,Fairfax Dr & N Randolph St
31249,-77.037413,38.879819,Jefferson Memorial
31803,-76.985238,38.866611,Good Hope Rd & 14th St SE
31038,-77.116817,38.883921,Glebe Rd & 11th St N
31039,-77.107854,38.880012,Wilson Blvd & N Quincy St
31040,-77.10108,38.884616,GMU / Fairfax Dr & Kenmore St
31508,-76.9941,38.90509,Gallaudet / 8th St & Florida Ave NE
31250,-77.044789,38.903584,20th & L St NW
31251,-77.0284,38.903819,12th & L St NW
31252,-77.046564,38.901539,21st St & Pennsylvania Ave NW
31253,-77.04337,38.902204,19th & K St NW
31041,-77.040363,38.803124,Prince St & Union St
31042,-77.043363,38.804718,Market Square / King St & Royal St
31043,-77.044664,38.810743,Saint Asaph St & Pendleton  St
31044,-77.049883,38.805317,King St & Patrick St
31254,-77.03353,38.902,15th & K St NW
31045,-77.05293,38.805648,Commerce St & Fayette St
31046,-77.050276,38.811456,Henry St & Pendleton St
31047,-77.052808,38.814577,Braddock Rd Metro
31048,-77.060626745224,38.80576284873485,King St Metro South
31255,-77.05152,38.9066,24th & N St NW
31256,-77.026064,38.895914,10th & E St NW
31257,-77.048911,38.90088,22nd & I St NW / Foggy Bottom
31049,-77.113905,38.883669,Utah St & 11th St N
31050,-77.08777,38.884961,Barton St & 10th St N
31051,-77.077294,38.889365,Arlington Blvd & N Queen St
31258,-77.049426,38.888251,Lincoln Memorial
31259,-77.045128,38.894722,20th St & Virginia Ave NW
31265,-77.018677,38.90093,5th St & Massachusetts Ave NW
31308,-77.077078,38.943837,39th & Veazey St NW
31309,-77.082426,38.954812,Fessenden St & Wisconsin Ave NW
31627,-77.0021304488182,38.905469714943266,3rd & M St NE
31053,-77.080319,38.863833,Columbia Pike & S Courthouse Rd
31054,-77.086733,38.857803,Walter Reed Dr & 16th St S
31055,-77.069275,38.846222,28th St & S Meade St
31114,-77.041571,38.918809,18th St & Wyoming Ave NW
31403,-77.0198142528534,38.956555547721955,5th & Kennedy St NW
31405,-77.027333,38.949662,Georgia Ave & Emerson St NW
31406,-77.03267812728882,38.942475355602845,14th & Upshur St NW
31407,-77.032947,38.956432,14th St & Colorado Ave NW
31056,-77.075104,38.847977,Troy St & 26th St S
31057,-77.085931,38.8444,Four Mile Run Dr & S Shirlington Rd
31058,-77.09586,38.860789,Columbia Pike & S Oakland St
31059,-77.095431,38.84736,Four Mile Run Dr & S Walter Reed Dr
31060,-77.089555,38.84232,S Arlington Mill Dr & Campbell Ave
31061,-77.084918,38.848454,Kenmore St & 24th St S
32006,-77.029417,38.987,13th St & Eastern Ave
31312,-77.063586,38.90849,Wisconsin Ave & O St NW
31062,-77.06714,38.896553,Roosevelt Island
31310,-77.069956,38.955016,Connecticut & Nebraska Ave NW
31267,-77.038359,38.908142,17th St & Massachusetts Ave NW
31117,-77.0352,38.92333,15th & Euclid St  NW
31629,-76.995193,38.889988,8th & East Capitol St NE
31509,-77.017669,38.912659,New Jersey Ave & R St NW
31630,-76.983326,38.889908,15th & East Capitol St NE
31631,-76.994749,38.897274,8th & F St NE
31510,-76.978924,38.927095,18th St & Rhode Island Ave NE
31632,-76.983575,38.897195,15th & F St NE
31511,-76.990955,38.928644,12th & Irving St NE
31800,-76.99937582015991,38.84322988730829,Alabama & MLK Ave SE
31807,-76.990037,38.863897,Pleasant St & MLK Ave SE
31512,-76.987211,38.903732,Neal St & Trinidad Ave NE
31268,-77.028139,38.916787,12th & U St NW
31063,-77.105022,38.852248,S George Mason & Four Mile Run Dr
31064,-77.039511,38.865029,Gravelly Point
31065,-77.08596,38.880705,Pershing Dr & Wayne St
31066,-77.072315,38.867262,Columbia Pike & S Orme St
31269,-77.001955,38.887378,3rd St & Pennsylvania Ave SE
31270,-77.02324,38.894851,8th & D St NW
31118,-77.01597,38.917622,3rd & Elm St NW
31513,-77.004746,38.918155,Rhode Island Ave & V St NE
31271,-77.013917,38.892275,Constitution Ave & 2nd St NW/DOL
31272,-77.013769,38.886978,Washington & Independence Ave SW/HHS
31633,-77.025762,38.887312,Independence Ave & L'Enfant Plaza SW/DOE
31514,-76.997194,38.927497,Hamlin & 7th St NE
31067,-77.086599,38.862478,Columbia Pike & S Walter Reed Dr
31068,-77.11153,38.856319,Arlington Mill Cmty Center / Columbia Pike & S Dinwiddie St
31069,-77.107906,38.871822,Pershing Dr & N George Mason Dr
32001,-77.023082,38.985404,"Fenton St & New York Ave "
32002,-77.097426,38.981103,Bethesda Ave & Arlington Rd
32003,-77.09221,38.983838,"Montgomery Ave & Waverly St "
32004,-77.192672,39.096312,Fallsgrove Blvd & Fallsgrove Dr
32005,-77.202501,39.093783,Traville Gateway Dr & Gudelsky Dr
32000,-77.096539,38.988562,Norfolk Ave & Fairmont St
32007,-77.151291,39.084125,E Montgomery Ave & Maryland Ave
32008,-77.098029,38.98954,Cordell & Norfolk Ave
32009,-77.145213,39.094772,Frederick Ave & Horners Ln
32010,-77.011336,38.98128,Philadelphia & Maple Ave
32011,-77.006311,38.983627,Maple & Ritchie Ave
32012,-77.02953189611435,38.99489580319022,Silver Spring Metro / Colesville Rd & Wayne Ave
32013,-77.095367,38.983525,Montgomery & East Ln
32014,-77.085998,38.961763,Friendship Hts Metro / Wisconsin Ave & Wisconsin Cir
31119,-77.031887,38.921074,14th & Belmont St NW
31634,-77.0024,38.87501,3rd & Tingey St SE
31120,-77.025672,38.920387,10th & Florida Ave NW
31635,-76.994468,38.876737,Potomac Ave & 8th St SE
32015,-77.156985,39.120045,Crabbs Branch Way & Redland Rd
32016,-77.188014,39.099376,Fallsgrove Dr & W Montgomery Ave
32017,-77.149162,39.083673,Monroe St & Monroe Pl
32018,-77.15741,39.123513,Needwood Rd & Eagles Head Ct
32019,-77.02935,38.990249,East West Hwy & Blair Mill Rd
32020,-77.152072,39.107709,Crabbs Branch Way & Calhoun Pl
32021,-77.091991,38.982456,47th & Elm St
32022,-77.04456299543381,39.02538719623632,Dennis Ave & Amherst Ave
32023,-77.159048,39.095661,Montgomery College / W Campus Dr & Mannakee St
32024,-77.023854,38.989724,Fenton St & Gist Ave
32025,-77.01121,38.975,Carroll & Westmoreland Ave
32026,-77.006472,38.977933,Carroll & Ethan Allen Ave
32027,-77.100104,38.992375,Battery Ln & Trolley Trail
32028,-77.100239,38.990639,Norfolk & Rugby Ave
32029,-77.094589,38.977093,Offutt Ln & Chevy Chase Dr
32030,-77.200322,39.102099,Broschart & Blackwell Rd
32032,-77.141378,39.076331,Fleet St & Ritchie Pkwy
32033,-77.177091,39.102212,Piccard & W Gude Dr
32034,-77.03037142753601,38.99403485060837,Silver Spring Transit Center - Top Level
32035,-77.031555,38.999388,Georgia Ave & Spring St
32036,-77.025608,38.997033,"Fenton St & Ellsworth Dr "
32037,-77.171487,39.114688,King Farm Blvd & Pleasant Dr
32038,-77.182669,39.110314,King Farm Blvd & Piccard Dr
31121,-77.050046,38.923583,Calvert St & Woodley Pl NW
31636,-77.01536044478416,38.90733256111448,New Jersey Ave & N St NW/Dunbar HS
31710,-76.931862,38.898536,Nannie Helen Burroughs Ave & 49th St NE
31711,-76.933099,38.908473,Deanwood Rec Center
31273,-77.03023,38.878433,Hains Point/Buckeye & Ohio Dr SW
31070,-77.089233,38.873755,Arlington Blvd & Fillmore St
31071,-77.05428,38.862753,Eads St & 12th St S
32039,-77.109647,38.999634,Old Georgetown Rd & Southwick St
32040,-77.088659,38.96115,Friendship Blvd & Willard Ave
31637,-77.008911,38.899703,North Capitol St & G Pl NE
31072,-77.09482,38.837666,31st St & S Woodrow St
31073,-77.082104,38.873219,"Washington Blvd & Walter Reed Dr "
31074,-77.095596,38.869418,TJ Cmty Ctr / 2nd St & S Old Glebe Rd
31313,-77.061977237463,38.94113915653008,Connecticut Ave & Tilden St NW
32041,-77.196442,39.103091,Medical Center Dr & Key West Ave
32042,-77.196636,39.097636,Shady Grove Hospital
32043,-77.023894,38.997445,"Veterans Pl & Pershing Dr "
32044,-77.145803,39.085394,Rockville Metro East
31638,-77.012108,38.900358,1st & H St NW
31515,-77.002721,38.952369,Fort Totten Metro
31408,-77.016855,38.975219,Takoma Metro
31516,-76.995876,38.920682,Rhode Island Ave Metro
31075,-77.076131,38.866471,Rolfe St & 9th St S
31076,-77.087083,38.839912,Shirlington Transit Center / Quincy St & Randolph St
32045,-77.166093,39.119765,Shady Grove Metro West
32046,-77.103381,38.964992,River Rd & Landy Ln
32047,-77.146866,39.084379,Rockville Metro West
32048,-77.094537,38.984691,Bethesda Metro / Wisconsin Ave & Old Georgetown Rd
31077,-77.071301,38.88992,Iwo Jima Memorial / Meade & 14th St N
31314,-77.0676684380669,38.903662690050474,34th & Water St NW
31081,-77.060866,38.804378,Duke St & John Carlyle St
31079,-77.09169,38.894941,Lee Hwy & N Cleveland St
31078,-77.104503,38.869442,Arlington Blvd & S George Mason Dr
31274,-77.02623546123505,38.89824328774852,10th & G St NW
31080,-77.080851,38.897612,Lee Hwy & N Scott St
31275,-77.051084,38.901755,New Hampshire Ave & 24th St NW
31082,-77.068952,38.801111,Eisenhower Ave & Mill Race Ln
31083,-77.047494,38.82175,Potomac Greens Dr & Slaters Ln
31084,-77.063562,38.802677,Ballenger Ave & Dulaney St
31085,-77.057619,38.820064,Mount Vernon Ave & E Nelson Ave
31086,-77.058541,38.82595,Mount Vernon Ave & E Del Ray Ave
31087,-77.053096,38.820932,Monroe Ave & Leslie Ave
31088,-77.059821,38.833077,Mount Vernon Ave & Kennedy St
31089,-77.084801,38.890612,Court House Metro / 15th St & N Uhle St
32049,-77.000035,38.986743,WAU / Flower Ave & Division St
31090,-77.05003,38.865553,Long Bridge Park / Long Bridge Dr & 6th St S
31315,-77.07513481378555,38.96454350924588,Connecticut Ave & McKinley St NW
31276,-77.034846,38.90366,15th & L St NW
31277,-77.03973233699799,38.89829964921176,17th & G St NW
32050,-77.034499,38.997653,Spring St & 2nd Ave
31278,-77.041834,38.912648,18th & R St NW
31091,-77.063275,38.859254,Joyce St & 16th St S
31517,-76.99707,38.907908,Union Market
31092,-77.104562,38.896456,Lee Hwy & N Monroe St
31093,-77.078317,38.898984,21st St & N Pierce St
31094,-77.09713,38.895377,Lee Hwy & N Kirkwood Rd
31279,-77.043182,38.898412,19th & G St NW
31522,-77.00356006622314,38.914751108831155,2nd St & Seaton Pl NE
31902,-77.12712,38.876528,"Wilson Blvd & N Illinois St "
31095,-77.06812083721161,38.86215024521491,Army Navy Dr & S Nash St
31293,-77.061043,38.902814,31st & Water St NW
31280,-77.027025,38.913761,11th & S St NW
31096,-77.08787,38.86612,Walter Reed Dr & 8th St S
31639,-77.003666,38.89967,2nd & G St NE
31281,-77.02277,38.90864,8th & O St NW
31411,-77.027855,38.961339,Georgia & Missouri Ave NW
31712,-76.974828,38.894474,Oklahoma Ave & D St NE
31640,-76.9929,38.896134,Maryland Ave & E St NE
31518,-76.983683,38.915604,New York Ave & Hecht Ave NE
31316,-77.08059,38.946182,Yuma St & Tenley Circle NW
32052,-77.194774,39.105295,Key West Ave & Siesta Key Way
31900,-77.118009,38.898301,Lee Hwy & N Woodstock St
31097,-77.044097,38.812718,Saint Asaph St & Madison St
31098,-77.059817,38.80704,King St Metro North / Cameron St
31099,-77.049468,38.813485,Madison St & N Henry St
32053,-77.097882,38.999378,"Medical Center Metro "
31901,-77.127671,38.884829,Washington Blvd & N Frederick St
31317,-77.084636,38.958267,Wisconsin Ave & Ingomar St NW
31122,-77.03625,38.928893,16th & Irving St NW
31282,-77.036278,38.912652,16th & R St NW
32054,-77.051168,38.999679,Lyttonsville Rd & Lyttonsville Pl
32055,-77.093522,38.979875,Woodmont Ave & Strathmore St
31283,-77.031737,38.903658,14th & L St NW
31519,-77.012365,38.908643,1st & O St NW
31811,-77.008133,38.831516,South Capitol & Atlantic St SW
31284,-77.041544,38.893511,18th & C St NW
31285,-77.048728,38.909394,22nd & P ST NW
32056,-77.038721,38.995681,East West Hwy & 16th St
31903,-77.0447,38.799267,Royal St & Wilkes St
31123,-77.032375,38.925284,14th & Girard St NW
31910,-77.049265,38.822738,Potomac Ave & Main Line Blvd
31286,-77.02714,38.90843,11th & O St NW
31287,-77.02601015567778,38.88432272414662,10th St & L'Enfant Plaza SW
31318,-77.065115,38.947156,Connecticut Ave & Yuma St NW
31641,-77.003135,38.894972,2nd St & Massachusetts Ave NE
31908,-77.086031,38.828437,Radford St & Osage St
31904,-77.15642720460892,38.88532071975074,East Falls Church Metro / Sycamore St & 19th St N
31905,-77.135271,38.880992,Kennebec St & 11th St N
31906,-77.061715,38.812711,Commonwealth Ave & Oak St
31913,-77.06282079219818,38.82005823354218,Commonwealth Ave & E Monroe Ave
31288,-77.017253,38.890493,4th St & Madison Dr NW
31289,-77.049379,38.890544,Henry Bacon Dr & Lincoln Memorial Circle NW
31290,-77.038325,38.888097,17th St & Independence Ave SW
31907,-77.0487,38.798133,Franklin St & S Washington St
31909,-77.064016,38.843422,Mount Vernon Ave & Four Mile Run Park
31642,-77.01600551605225,38.90240556584194,4th St & K St NW
31912,-77.063093,38.841291,Mount Vernon Ave & Bruce St
31914,-77.053766,38.797557,Lee Center
31915,-77.047783,38.818748,Powhatan St & Bashford Ln
31916,-77.047844,38.829545,Potomac Ave & Swann Ave
31124,-77.032224,38.928552,14th & Irving St NW
31291,-77.03445106744766,38.901136451737045,Vermont Ave & I St NW
31319,-77.080217,38.949813,Wisconsin Ave & Brandywine St NW
31520,-76.971923,38.91263,24th & R St NE / National Arboretum
31713,-76.925907,38.897407,Division Ave & Foote St NE
31812,-76.982359,38.870695,16th & Q St SE / Anacostia HS
32200,-77.240654,38.929261,Spring Hill Metro
32201,-77.235955,38.92403,Westpark Dr & Leesburg Pike
32203,-77.221179,38.919475,Tysons One Pl & Chain Bridge Rd
32204,-77.222115,38.920939,Tysons Corner Station
32205,-77.217664,38.924437,Westpark & Jones Branch Dr
32206,-77.219261,38.931911,Jones Branch & Westbranch Dr
32207,-77.225394,38.928919,Westpark & Park Run Dr
32208,-77.231825,38.932636,Tysons West Transit Center
32209,-77.338686,38.970046,North Shore & Cameron Crescent Dr/Crescent Apartments
32210,-77.361902,38.962524,Town Center Pkwy & Bowman Towne Dr
32211,-77.358815,38.962095,Reston Regional Library
32212,-77.356324,38.960574,New Dominion Pkwy & Fountain Dr
32213,-77.351649,38.955079,Sunset Hills & Old Reston Ave
32214,-77.359718,38.957037,Reston Town Center Transit Station
31643,-77.005965,38.884916,1st & D St SE
32215,-77.3393914103508,38.946607921214984,Wiehle Ave & Reston Station Blvd
32216,-77.358741,38.959633,Library St & Freedom Dr
32217,-77.357611,38.95534,Sunset Hills Rd & Discovery Square
31292,-77.048947,38.892441,22nd St & Constitution Ave NW
31714,-76.913563,38.891805,61st St & Banks Pl NE
32218,-77.353414,38.960084,Temporary Rd & Old Reston Ave
32219,-77.368416,38.955314,Reston YMCA
32220,-77.340377,38.951443,Sunset Hills Rd & Isaac Newton Square
31917,-77.070862,38.89386,N Lynn St & Fairfax Dr
31414,-77.027976,38.967505,Georgia Ave & Piney Branch Rd NW
32221,-77.227417,38.923083,Greensboro & International Dr
31918,-77.040691,38.812351,Madison St & Fairfax St
32058,-77.016311,38.990874,Sligo Ave & Carroll Ln
31125,-77.034502,38.919086,15th & W St NW
31644,-76.990121,38.882489,12th St & Pennsylvania Ave SE
31412,-77.002239,38.957463,3rd St & Riggs Rd NE
31919,-77.112982,38.876695,Carlin Springs Rd & N Thomas St
32222,-77.220157,38.915246,Towers Crescent Dr & Tysons One Pl
31645,-76.99840486049652,38.90293157359119,6th & K St NE
32057,-77.107143,39.014716,Pooks Hill Rd & Linden Ave
32059,-76.988311,38.98265,Takoma Park Rec Center
32061,-76.988422,38.988101,New Hampshire & Kirklynn Ave
32062,-77.051023,39.038341,Wheaton Metro / Georgia Ave & Reedie Dr
32063,-77.047788,39.044887,Amherst Ave & Elkins St
32064,-77.048395,39.035965,Amherst Ave & Prichard Rd
32065,-77.053085,39.043272,Grandview & Blueridge Ave
32066,-77.04735,39.032029,Windham Ln & Amherst Ave
32223,-77.340787,38.970412,North Shore Dr & Village Rd
32224,-77.3630940914154,38.955170598044894,Town Center Pkwy & Sunset Hills Rd
31413,-77.016258,38.968834,3rd & Underwood St NW
31521,-76.979517,38.93293,18th & Monroe St NE
31294,-77.021741,38.88345,7th & E St SW
32067,-77.164969,39.121327,Shady Grove Metro East
31295,-77.065149,38.905368,Potomac & M St NW
31296,-77.040787,38.924088,Columbia & Ontario Rd NW
31920,-77.111066,38.888282,Washington-Liberty High School / N Stafford St & Generals Way
31921,-77.142317,38.886048,Westover Library / Washington Blvd & N McKinley Rd
31923,-77.103728,38.858524,Columbia Pike & S Taylor St
32068,-77.1673,39.126,Columbus Ave & Tribeca St
32069,-77.16486,39.12333,Columbus Ave & Gramercy Blvd
32225,-77.35428035259247,38.964207741006206,Reston Pkwy & Spectrum Dr
32070,-77.20386,39.105642,Key West Ave & Great Seneca Hwy
31297,-77.054155,38.8995,Virginia Ave & 25th St NW
31298,-77.034674,38.905424,15th & M St NW
31126,-77.027112,38.925636,11th & Girard St NW
31299,-77.04564,38.912644,Connecticut Ave & R St NW
31924,-77.082089,38.892556,Wilson Blvd & N Troy St
31320,-77.087128,38.936298,American University East Campus
31321,-77.033234,38.892244,15th St & Constitution Ave NW
31128,-77.050264,38.905303,23rd & M St NW
32071,-77.192645,39.106971,Corporate Blvd & Omega Dr
32072,-77.202354,39.106152,Key West Ave & Diamondback Dr
31813,-76.98185,38.84627,Alabama Ave & Stanton Rd SE / Shops at Park Village
31814,-76.97557,38.84377,Mississippi Ave & 19th St SE / THEARC
31815,-76.97703,38.84623,19th & Savannah St SE
31816,-77.0009,38.836,4th St & Mississippi Ave SE
31817,-77.005497,38.824481,1st & S Capitol St SE / Oxon Run Trail
31818,-77.00223,38.82373,Livingston Rd & 3rd St SE
31819,-77.01033,38.81909,Joliet St & MLK Ave SW/Bald Eagle Rec Ctr
31715,-76.949709,38.883011,37th & Ely Pl SE
